Id	tvdbId	imdbId	seriesId	nameEn	nameRu	status	firstAired	network	seazons	lastEpisode	rating	lastShow	airedEpisodeNumber	episodeName
117	328549	tt6461746	999999	Reverie	Грезы	Continuing	5/30/2018	NBC	1	10	0	TBD	TBD	TBD
118	280494	tt3843168	193784	Z Nation	Нация Z	Continuing	9/12/2014	Syfy	5	64	7.7	TBD	TBD	TBD
119	320060	tt2431088	999999	Runaways	Беглецы	Ended	8/31/2012	YouTube	3	18	0	TBD	TBD	TBD
120	349659	tt5715524	999999	Mayans M.C.	Майянцы	Continuing		FX (US)	1	10	0	TBD	TBD	TBD
121	289108	tt2788432	194591	American Crime Story	Американская история преступлений	Continuing	2/2/2016	FX (US)	2	19	9.4	TBD	TBD	TBD
122	295759	tt4016454	195575	Supergirl	Супергёрл	Continuing	10/26/2015	The CW	4	72	8	TBD	TBD	TBD
123	72923	tt0058824	2099	Lost in Space	Затерянные в космосе	Ended	9/15/1965	CBS	3	123	7.1	TBD	TBD	TBD
124	269533	tt2402207	183034	The Last Ship	Последний корабль	Continuing	6/22/2014	TNT (US)	5	77	8.8	TBD	TBD	TBD
125	303798	tt3714902	999999	Maniac	Маньяк	Ended	12/1/2015	TV 2	1	10	0	TBD	TBD	TBD
126	322466	tt1984119	199661	Feud	Вражда	Continuing	3/5/2017	FX (US)	1	8	8.2	TBD	TBD	TBD
127	95011	tt1442437	77270	Modern Family	Американская семейка	Continuing	9/23/2009	ABC (US)	10	219	8.8	TBD	TBD	TBD
128	349661	tt6110648	999999	The Purge	Судная ночь	Continuing		USA Network	1	11	0	TBD	TBD	TBD
129	348841	tt7375404	999999	Kidding	Шучу	Continuing		Showtime	1	10	0	TBD	TBD	TBD
130	72039		16419	Trust	Траст	Ended	1/9/2003	BBC One	1	6	6	TBD	TBD	TBD
131	343174	tt7210448	999999	Strange Angel	Странный ангел	Continuing	6/14/2018	CBS All Access	1	10	0	TBD	TBD	TBD
132	298305	tt4406248	999999	Vixen	Лисица	Continuing	8/25/2015	CW Seed	2	13	9	TBD	TBD	TBD
133	332525	tt6045840	203712	Black Lightning	Черная молния	Continuing	1/16/2018	The CW	2	25	8.3	TBD	TBD	TBD
134	345831	tt7612548	999999	The Outpost	Аванпост	Continuing	7/10/2018	The CW	1	10	0	TBD	TBD	TBD
135	349002	tt7412482	999999	The First	Первые	Continuing		Hulu	1	8	0	TBD	TBD	TBD
136	351575	tt8336340	999999	Star Wars Resistance	Звёздные войны: Сопротивление	Continuing		Disney Channel (US)	1	11	0	TBD	TBD	TBD
